,p1_wins,p2_wins,no_one_wins,winner
0,0.0,0.0,0.0,
1,0.4696485623003195,0.4728434504792332,0.05750798722044728,1.0
2,0.4728434504792332,0.4696485623003195,0.05750798722044728,1.0
3,0.476038338658147,0.46645367412140576,0.05750798722044728,1.0
4,0.476038338658147,0.46645367412140576,0.05750798722044728,2.0
5,0.4792332268370607,0.46325878594249204,0.05750798722044728,1.0
6,0.48242811501597443,0.46006389776357826,0.05750798722044728,1.0
7,0.48242811501597443,0.46006389776357826,0.05750798722044728,2.0
8,0.48562300319488816,0.45686900958466453,0.05750798722044728,1.0
9,0.48562300319488816,0.45686900958466453,0.05750798722044728,2.0
10,0.48881789137380194,0.4536741214057508,0.05750798722044728,1.0
11,0.49201277955271566,0.4504792332268371,0.05750798722044728,1.0
12,0.4952076677316294,0.4472843450479233,0.05750798722044728,1.0
13,0.4952076677316294,0.4472843450479233,0.05750798722044728,2.0
