,showcase_1,showcase_2,bid_1,bid_2,diff_1,diff_2,estimated_bid1,estimated_diff1,estimated_bid2,estimated_diff2
0,50969.0,45429.0,57771.06732735714,34000.0,6802.067327357137,-11429.0,57771.06732735714,6802.067327357137,57771.06732735714,-11429.0
1,21901.0,34061.0,20966.537507907764,59900.0,-934.4624920922361,25839.0,20966.537507907764,-934.4624920922361,20966.537507907764,25839.0
2,32815.0,53186.0,54092.039184882386,45000.0,21277.039184882386,-8186.0,54092.039184882386,21277.039184882386,54092.039184882386,-8186.0
3,44432.0,31428.0,54436.60530661796,38000.0,10004.60530661796,6572.0,54436.60530661796,10004.60530661796,54436.60530661796,6572.0
4,24273.0,22320.0,23008.726672970042,23000.0,-1264.2733270299577,680.0,16600.0,-7673.0,10000.0,-12320.0
5,30554.0,24337.0,47513.51974023176,18525.0,16959.519740231757,-5812.0,34700.0,4146.0,10000.0,-14337.0
6,20963.0,41373.0,31629.332724258682,32000.0,10666.332724258682,-9373.0,22650.0,1687.0,11400.0,-29973.0
7,28941.0,45437.0,40399.034737553695,45000.0,11458.034737553695,-437.0,27400.0,-1541.0,12900.0,-32537.0
8,25851.0,41125.0,19069.41219796301,32000.0,-6781.587802036989,-9125.0,14750.0,-11101.0,11650.0,-29475.0
9,28800.0,36319.0,40181.81049321847,27500.0,11381.810493218472,-8819.0,24300.0,-4500.0,15800.0,-20519.0
10,37703.0,38752.0,34395.15180865163,23800.0,-3307.84819134837,-14952.0,21600.0,-16103.0,17050.0,-21702.0
11,34774.0,28450.0,58782.40188714447,18975.0,24008.40188714447,-9475.0,38300.0,3526.0,18050.0,-10400.0
12,25268.0,39745.0,38292.69786312896,35555.0,13024.69786312896,-4190.0,24350.0,-918.0,22050.0,-17695.0
13,44044.0,40894.0,56090.917013222905,35000.0,12046.917013222905,-5894.0,37350.0,-6694.0,22850.0,-18044.0
14,32516.0,30608.0,36334.861805337016,29765.0,3818.8618053370155,-843.0,23750.0,-8766.0,22200.0,-8408.0
15,30827.0,30463.0,40146.23769224866,34000.0,9319.237692248658,3537.0,26350.0,-4477.0,25100.0,-5363.0
16,40374.0,29405.0,60528.93060079152,23000.0,20154.930600791522,-6405.0,41950.0,1576.0,22100.0,-7305.0
17,27698.0,31290.0,34107.1881736006,25000.0,6409.1881736006035,-6290.0,24300.0,-3398.0,22350.0,-8940.0
18,23590.0,38597.0,33372.60042081859,24000.0,9782.600420818591,-14597.0,24050.0,460.0,22750.0,-15847.0
19,38625.0,33917.0,60370.247581310905,42333.0,21745.247581310905,8416.0,42700.0,4075.0,27550.0,-6367.0
20,24026.0,43036.0,24395.708447655474,27000.0,369.7084476554737,-16036.0,20050.0,-3976.0,23500.0,-19536.0
21,37449.0,36623.0,37999.00045926881,24500.0,550.0004592688128,-12123.0,26650.0,-10799.0,23200.0,-13423.0
22,34268.0,31681.0,56729.634347470055,27500.0,22461.634347470055,-4181.0,39950.0,5682.0,24700.0,-6981.0
23,22281.0,29080.0,33037.67423321,29500.0,10756.674233209997,420.0,24400.0,2119.0,25200.0,-3880.0
24,22890.0,34137.0,13737.104982532843,25000.0,-9152.895017467157,-9137.0,16150.0,-6740.0,23650.0,-10487.0
25,24226.0,24925.0,37937.361708189994,28000.0,13711.361708189994,3075.0,27400.0,3174.0,25000.0,75.0
26,25448.0,36174.0,29759.02833486651,22000.0,4311.028334866511,-14174.0,21900.0,-3548.0,22250.0,-13924.0
27,32525.0,23705.0,43985.69724819618,27500.0,11460.697248196178,3795.0,31800.0,-725.0,24200.0,495.0
28,36799.0,24897.0,52659.10307777425,22000.0,15860.103077774249,-2897.0,37950.0,1151.0,21650.0,-3247.0
29,27380.0,37776.0,29048.043826764224,37000.0,1668.043826764224,-776.0,21800.0,-5580.0,25550.0,-12226.0
30,25903.0,19792.0,29496.22979818033,22500.0,3593.2297981803313,2708.0,22100.0,-3803.0,21400.0,1608.0
31,31769.0,20182.0,37019.94380151469,19900.0,5250.943801514688,-282.0,26500.0,-5269.0,19850.0,-332.0
32,22853.0,36070.0,16615.197805630774,32100.0,-6237.802194369226,-3970.0,17250.0,-5603.0,23600.0,-12470.0
33,23202.0,32357.0,27067.638900758484,27590.0,3865.638900758484,-4767.0,20900.0,-2302.0,21900.0,-10457.0
34,20721.0,24054.0,14972.675992936422,20000.0,-5748.324007063578,-4054.0,16600.0,-4121.0,19450.0,-4604.0
35,28451.0,21527.0,31886.94290302166,26500.0,3435.9429030216597,4973.0,23200.0,-5251.0,21550.0,23.0
36,26154.0,30623.0,33955.267158969065,20000.0,7801.267158969065,-10623.0,24450.0,-1704.0,19150.0,-11473.0
37,27019.0,34089.0,26549.350087708513,28000.0,-469.64991229148654,-6089.0,20600.0,-6419.0,22000.0,-12089.0
38,51959.0,58458.0,74624.25502998373,58000.0,22665.25502998373,-458.0,50650.0,-1309.0,35850.0,-22608.0
39,35811.0,69485.0,47662.47811651755,48000.0,11851.478116517552,-21485.0,35750.0,-61.0,32100.0,-37385.0
40,24885.0,29349.0,33923.12885557138,30100.0,9038.128855571384,751.0,24650.0,-235.0,23600.0,-5749.0
41,24648.0,23955.0,31825.397339599283,21000.0,7177.397339599283,-2955.0,23350.0,-1298.0,20000.0,-3955.0
42,30707.0,28244.0,49187.39941228838,22750.0,18480.39941228838,-5494.0,37400.0,6693.0,20500.0,-7744.0
43,23744.0,19756.0,25672.334378937398,26500.0,1928.3343789373976,6744.0,20500.0,-3244.0,21800.0,2044.0
44,45078.0,28336.0,65170.03879241537,27000.0,20092.03879241537,-1336.0,49400.0,4322.0,21600.0,-6736.0
45,20773.0,34646.0,34858.39288913202,27500.0,14085.392889132017,-7146.0,25400.0,4627.0,21750.0,-12896.0
46,30892.0,26712.0,38149.253051796266,26000.0,7257.253051796266,-712.0,27950.0,-2942.0,21100.0,-5612.0
47,29971.0,24349.0,48886.265883035405,24250.0,18915.265883035405,-99.0,38000.0,8029.0,20600.0,-3749.0
48,37423.0,24366.0,48688.70430557555,26250.0,11265.70430557555,1884.0,37650.0,227.0,21050.0,-3316.0
49,33593.0,23276.0,51413.47696176625,31000.0,17820.476961766253,7724.0,40350.0,6757.0,22450.0,-826.0
50,24866.0,34144.0,39889.54320705564,28500.0,15023.543207055642,-5644.0,29800.0,4934.0,21200.0,-12944.0
51,24628.0,28136.0,41487.489665976216,25000.0,16859.489665976216,-3136.0,31050.0,6422.0,20000.0,-8136.0
52,24827.0,33508.0,37518.41785294587,20500.0,12691.417852945873,-13008.0,27750.0,2923.0,18700.0,-14808.0
53,29248.0,38836.0,45225.07861185261,34000.0,15977.078611852608,-4836.0,34150.0,4902.0,23200.0,-15636.0
54,24818.0,27654.0,41940.57029029543,24250.0,17122.57029029543,-3404.0,31250.0,6432.0,19650.0,-8004.0
55,28762.0,23097.0,37649.4286209572,33250.0,8887.428620957202,10153.0,27600.0,-1162.0,22750.0,-347.0
56,31838.0,23255.0,47833.68029289464,15000.0,15995.680292894642,-8255.0,36550.0,4712.0,17150.0,-6105.0
57,22268.0,33801.0,31131.659574335077,29250.0,8863.659574335077,-4551.0,23450.0,1182.0,20900.0,-12901.0
58,38892.0,35658.0,60878.28267730185,25700.0,21986.282677301853,-9958.0,47700.0,8808.0,19800.0,-15858.0
59,22599.0,42174.0,31865.96136418377,30000.0,9266.961364183771,-12174.0,23750.0,1151.0,21100.0,-21074.0
